timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure,failure_detector_status
2480380810,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2481383252,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2482387142,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2483396107,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2484396540,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2485399142,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2486402018,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2487402115,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2488406098,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2489416150,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2490419142,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2491428540,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2492438274,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2493443304,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2494447941,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2495460292,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2496462063,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2497464702,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2498465125,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2499472180,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2500481165,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2501488191,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2502489064,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2503496255,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2504501499,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2505506104,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2506509114,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2507512110,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2508513139,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2509514170,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2510521176,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2511529163,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2512532137,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2513536417,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2514537692,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2515541195,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2516542603,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2517545082,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2518495679,3080239,2162703,3014703,5,2,0,1,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2518507112,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2519509125,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2520511600,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2521521110,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2522521499,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2523524149,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2524530152,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2525537106,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2526546106,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2527557115,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2528568030,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2529578060,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2530588186,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2531588622,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2532599589,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2533600166,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2534609169,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2535618117,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2536627229,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2537629115,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2538639392,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2539645870,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2540651249,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2541659134,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2542669189,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2543676615,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2544679927,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2545682107,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2546687772,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2547693109,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2548696181,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2549697172,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2550708313,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2551716610,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2552725148,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2553731147,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2554738088,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2555746549,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2556755239,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2557762714,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2558768166,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2559774582,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2560784094,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2561791254,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2562796895,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2563806559,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2564808206,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2565607305,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2566589117,3080239,2162703,3014703,5,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
